id_video,id_komentar,text_original,author_name,id_author,like_count,published_at
b0yw06rMBAY,Ugw4eFpmdgKX0oXDsi54AaABAg,W GAME,@mohammadrifan5110,UCE1qF-DFHmk6ddxOLsq0Ngg,0,2025-06-27T04:03:15Z
b0yw06rMBAY,Ugyugd_SpIt3AMAUV454AaABAg,"masterpiece game, masterpiece stream.",@farnew1516,UCdGGlvFVQIFThPqbfsMRAOA,0,2025-06-27T04:02:44Z
b0yw06rMBAY,UgzaMSkaMn6RRAkzLfN4AaABAg,seruu🎉,@akeww_Ramm,UCCXXgb3lUMN_BYshUwHrrMw,0,2025-06-27T04:02:38Z
b0yw06rMBAY,UgylQIxPSCOiglSWvMV4AaABAg,"ini game disturbing banget gila, ga kuat nontonnya sumpil",@Nadzzzzzz-14,UCmkd0Dqmr4YcS4UmLTZzBRg,0,2025-06-27T04:01:36Z
b0yw06rMBAY,Ugy4w_2ybywPm9V_7Qt4AaABAg,BANG KAPAN MAIN FC MOBILE?,@a.ariyanqueyzarrekansa4202,UCxbgtCHGlVuXu81ACKOSAOw,1,2025-06-27T04:01:17Z
b0yw06rMBAY,UgwSH3oiHQkWEBaIQ1Z4AaABAg,Game lumpuh cuman duduk doang,@herulchelsy3812,UCe5ZsZaz_Ns5bdnGKcZumFA,0,2025-06-27T04:00:36Z
b0yw06rMBAY,UgxKO46u48Vx6biA0_t4AaABAg,lebay gasi nangis ggra nnton live stream ini?,@aciuyyr,UCL1LyJhYLwbE6HYw6L4bazQ,0,2025-06-27T03:59:55Z
b0yw06rMBAY,UgyZZajCs1ROTH1R9zt4AaABAg,"Gila gue ngerasa game ini yg dibuat joykreatif bisa bersaing sama game Bad Parenting, ceritanya terlalu bagus njir 🔥🔥🔥 W dev W Game",@whydn4204,UCUK7pZEEoQAi2SPCQ-Iqi7w,5,2025-06-27T03:59:49Z
b0yw06rMBAY,UgzLobhmlAj64xR3ts54AaABAg,sama Winda kakak dulu sekola cuma 2ribu itu aja untuk untuk bagi adek mas ku ya tua jadi bagi 1ribu 1ribu😢,@AmriAmri-v7u,UCfU_BZoxNfbCqY4gwGTduow,0,2025-06-27T03:59:36Z
b0yw06rMBAY,UgyOWSrHqXegE1hclO54AaABAg,Share ke temen atau siapapun yang main judi suruh nntn sampe abis biar otak udangnya kebuka🙏,@Dedy_Mahendra,UCfdm8t1287oPJHeS13WHJGw,1,2025-06-27T03:58:18Z
b0yw06rMBAY,UgwySlBdWX_us-1HOTN4AaABAg,"Audzuubillah astaghfirullah, untuk muslim jgn judi atau riba. Hindari.",@mikodok2001,UCXrA2kFANKvMjuygnFSw2aA,0,2025-06-27T03:58:11Z
b0yw06rMBAY,UgxPCVy4yvZ3ATy89Ux4AaABAg,"game ini mirip kisah ku bang, beda nya ayah ku tak jud1 dan tak jual istri",@ardhanaalghandi2220,UCK9TvQkbwv86zfj7DeyXnZw,0,2025-06-27T03:58:10Z
b0yw06rMBAY,Ugzp6GHCj78l4mSVfOB4AaABAg,Mantap bg Windah 😊,@CumiBalang,UCY0xB9xQ5XRco8k7ZdWaVZg,0,2025-06-27T03:57:18Z
b0yw06rMBAY,UgzMEXW44PALd_UuHrx4AaABAg,"12:40 awal mula ""menang sekali abis itu berhenti ahhh""💀",@Mekidz_,UCNWXvYGTjhWD7Z6hfeEj6xA,35,2025-06-27T03:56:12Z
b0yw06rMBAY,UgyQF8Wh-vy8ux0PBIt4AaABAg,W STREAM OF THE YEAR,@adityadanielpamungkas51,UCmIS3SOnMBNfk7YcIh6fXTw,0,2025-06-27T03:55:38Z
b0yw06rMBAY,UgyQ86HPX3Xx5H61MDB4AaABAg,"warga x ""BERSIAPLAH""",@n.narzz30__,UCelyT1jJSnwewyALoeyA9uQ,1,2025-06-27T03:55:28Z
b0yw06rMBAY,Ugw7K5E8oY55Iz0ug4F4AaABAg,Stopjutjut demi masa depan yang lebih baik,@FatmirFE,UCcGqM5f_KqkjFOtS__eb8Zg,1,2025-06-27T03:54:44Z
b0yw06rMBAY,Ugz64LIQM15Vxq2A7v94AaABAg,Stop judi,@EgaCuyy7,UCVt4tKyGWlrvfPNzgYDY7tQ,0,2025-06-27T03:54:03Z
b0yw06rMBAY,UgxDGwkB2O7qfFbmDA54AaABAg,Kalau kecanduan nonton windah bole ga bang,@MR29911,UCOGY4YOWahdi9mJrbubROrw,0,2025-06-27T03:53:24Z
b0yw06rMBAY,UgyucSK-8Bqp9oG01N14AaABAg,Gram ter epic yg pernah ku tonton 😢,@ValenTzy-p5r,UCD6trvQEjMCpJeYVAELcQNg,0,2025-06-27T03:52:04Z
b0yw06rMBAY,UgzrFnXBJ9Ie652AS194AaABAg,Alhamdulillah  gua udh berhenti dari dunia per jud* an 🥰,@akuncrywancry,UCd8nw9DayqlRwHtJuIukC7w,0,2025-06-27T03:51:03Z
b0yw06rMBAY,UgxPvZITWSy2dqLDcVN4AaABAg,2:11:49 WTFFFF😮😮,@andraajA10,UCd-DPZo4D0jviPPhX-iwTqQ,0,2025-06-27T03:50:43Z
b0yw06rMBAY,UgyiZmrz8M5b9VR8RZd4AaABAg,bang aku nangis makasih bang udah main game inii🥹,@turunumberone9012,UCyVwq15yBTKYyphwy_59zgw,0,2025-06-27T03:50:30Z
b0yw06rMBAY,UgxW6mT2jojOqGD1Qb94AaABAg,"gg bang windahh, bg windah melakukan stream yg perfect bg!! semangatt",@BintangSadDharma-ce1bi,UCnOj3oRdyFaaiPt5IYkD1GQ,1,2025-06-27T03:50:03Z
b0yw06rMBAY,UgzxvVqEQZZwLnnHaRt4AaABAg,kaila😢,@juboau,UCSsrGlhgkXIoW3cKVDdiioA,0,2025-06-27T03:48:59Z
b0yw06rMBAY,UgzNFr7G_d0uDqGa-wx4AaABAg,2:08:45 wtf jngn blg dia dijdikan L c,@andraajA10,UCd-DPZo4D0jviPPhX-iwTqQ,0,2025-06-27T03:48:52Z
b0yw06rMBAY,UgwOZKUPgMH_cwa9o2N4AaABAg,klo aku kasih semua bg :3,@IDZSUR3761,UCxKUnZkBQSZEbHgeuNOq1gQ,0,2025-06-27T03:48:09Z
b0yw06rMBAY,UgwnPTvadxcc22qoQ_14AaABAg,"Jadi intinya jangan judi ya, soalnya judi udah diseting bandarnya dari awal menang kalah kalau pertama dikasih menang biar kecanduan nanti pas bandar udah kaya kalian percuma withdraw bakalan di PHP sampe mampus",@BagindahSlime,UCi6LRr5TjxVNFctJgEb7P8g,9,2025-06-27T03:46:17Z
b0yw06rMBAY,UgwdW44nglX6ZDeqGc14AaABAg,paling suka liat horor Indonesia🎉,@Mekidz_,UCNWXvYGTjhWD7Z6hfeEj6xA,0,2025-06-27T03:45:47Z
b0yw06rMBAY,UgxI0_7UhHtA3VJdomJ4AaABAg,1:06:08 ikutan nangis waktu ini🥺,@Friz_dredwine,UCLUl84QGN8JnbGOM0rVAztg,0,2025-06-27T03:45:33Z
b0yw06rMBAY,UgwERpCiR2Ela_wrPMh4AaABAg,W GAMEEE EPICCC BANGETT,@ifzipratama3156,UCAwva6uzvL1UF1zI6C5PDfQ,1,2025-06-27T03:45:27Z
b0yw06rMBAY,Ugyy7Pf7MbF03EphIvB4AaABAg,Bang windah bukannya suka judi juga ya di game simulator?,@Rafly_Guerrero,UCLCDWeewV3BEY9bLQusI2Vg,0,2025-06-27T03:44:28Z
b0yw06rMBAY,UgwZx8BgQCm4gZOahTx4AaABAg,Bang yang bapak bapak mijet itu happy ending bg,@markumpujionopujiono3264,UC1YE6MyKX845fRtk7UMqtbQ,0,2025-06-27T03:43:43Z
b0yw06rMBAY,UgwoEKMslB8V2PDLQXd4AaABAg,Game of the year. W buat bang windah dan bang joykeratif,@pinkeuchaery,UCmItK9DUary_R5Z4pwkpKsA,0,2025-06-27T03:42:34Z
b0yw06rMBAY,UgxiGF5893wyp_5Lllt4AaABAg,"temen temen semuanya gw juga mau peringatin ke kalian tentang my experience,guys judi+pinjol=mati emg bener
wirausaha+pinjol=mati setengah jiwa
gini guys kalian kalo mau bikin usaha/bisnis usahain punya modal yang cukup jangan jadiin uang pinjaman bank sebagai pondasi sebuah usaha/bisnis kalau misalnya bisnis/usaha kalian gagal dan bangkrut kalian akan kesusahan buat bangkit lagi,mau bikin usaha susah gaada modal sedangkan hutang pinjaman bank masih belum lunas,so guys bijak dalam bisnis ya ini pengalaman gw dri anak seorang wirausaha yang usaha/bisnis nya berpondasikan dari hutang.itu aja guys semoga kalian ga terjerat kasus begini ya be carefull semuanya",@AryaaKesya,UCGbxnXP9VxrDnOV1vorvUeQ,138,2025-06-27T03:42:32Z
b0yw06rMBAY,UgxLTmGrFcITR0y1c-N4AaABAg,"bang aku arif,aku sangat terhibur sama live² abang aku sangat seneng bang maksih sudah menghibur aku",@ariffirdaus1667,UCZSMV7AJtdlmVygw6i9tpTQ,0,2025-06-27T03:42:22Z
b0yw06rMBAY,UgyEDFUVu6YwQjMuVNJ4AaABAg,1:49:11 baru nyadar tvnya squid game,@Dapp08,UCz_si3OkorAERQpHx-WtmMw,0,2025-06-27T03:41:53Z
b0yw06rMBAY,Ugx6a7p_WXQ2Ajg3G954AaABAg,"Kita hrs mikir dampak judi loh, kasian anak istri. Jauh dr kata cukup",@dientamiraa.s9536,UCp_i8SfFEFqIOJ177p6RB8w,0,2025-06-27T03:41:27Z
b0yw06rMBAY,UgxJBBsXXdk-Y4cUNSR4AaABAg,"Silahkan berjud jud. Tapi jangan libatkan kami orang yg gak bersalah atas perbuatanmu. Pelaku jud jud suka mencuri, bertindak kriminal, suka ngutang gak dibayar, giliran gak dikasih utang play victim. Urusanmu urusanmu. Urusanku urusanku",@yofuai,UCYwDaDJPAXQxBO-s0yg8JBg,7,2025-06-27T03:41:15Z
b0yw06rMBAY,UgwfjeGpJzw8_bSe1zl4AaABAg,"Bang main the spike cross dan kalahkan raul yg lebih kuat dari nishikawa,semoga di bales",@XanzCia,UCE3Rk7yOktFeYtm1NKs-eHA,0,2025-06-27T03:41:05Z
b0yw06rMBAY,UgyA9yvi4TKX1TQ4umB4AaABAg,"W WINDAH, W GAME, W JOYKERATIF 🔥",@mikemiketaii3641,UCtIQh0c7GutNkasvELX0_-g,0,2025-06-27T03:40:57Z
b0yw06rMBAY,UgwarD8elvhgwNM-LnF4AaABAg,Ni gw nontonnya sambil istigfar mulu ama si pak Beni iniii 😭😭,@putrimaulidak,UCWOwswBLq-u84_yPyMVK28g,0,2025-06-27T03:39:41Z
b0yw06rMBAY,Ugyft05d0vvPGjRHp094AaABAg,Yeyy main pikabuu lagii🤩😍,@nesya-c4w,UCkroYxj9mUoE_GHZaHKPNEw,0,2025-06-27T03:38:42Z
b0yw06rMBAY,Ugwlrs3h6B92wSdtQ_V4AaABAg,bang aku nonton sambil makann😆😆,@Robby777-n5p,UCEJCfYF0j4d3IUDeU6bRf-g,0,2025-06-27T03:37:33Z
b0yw06rMBAY,UgxPf-Of_Z3y2my2SoJ4AaABAg,Terkadang Realita lebih serem dari pada Boneka Ambalabu 😞,@yandymuryadhamano3343,UCslDtojNDimGhsxhrBphiIw,0,2025-06-27T03:37:29Z
b0yw06rMBAY,UgzbApcp0zmtW3VjO4l4AaABAg,L bapak beni,@gerryilmii,UCQdQgTSNo8AI58k8j7jJelg,0,2025-06-27T03:37:01Z
b0yw06rMBAY,Ugw9jYBIzYxQwa1EYWV4AaABAg,"NOOOOO, aku nangis baaaaaaang pas di  2:15:30 😭😭😭😭😭😭😭",@yuniwahyuni6944,UCSvpHX2FLX-PePVDxrX83lA,0,2025-06-27T03:36:53Z
b0yw06rMBAY,UgzKfJng4CBcImZcnUV4AaABAg,Lanjutin the Coffin of Andy and leyley eps 3 udah rilis bang,@Only1dizz,UCVNkN5Q2WYWM8m-1QSCojQA,0,2025-06-27T03:36:29Z
b0yw06rMBAY,Ugxks9Yyy8Mk98hW2lR4AaABAg,"What a gameeeee, gelo bagus banget",@devimutiaang,UC6tj6ljV-v9RjQCE2ekxKWQ,0,2025-06-27T03:34:35Z
b0yw06rMBAY,UgyBJObjcsRzCW89Sj54AaABAg,amit-amit,@myhyoghurt,UCx25-1cxk0x3TDJ6JsmEsZA,0,2025-06-27T03:34:22Z
b0yw06rMBAY,UgygJS4m_Eax_i1Kw7Z4AaABAg,Warga x : bersiaplah😋,@GervontaGavis,UCIc1A29_cz-M7xpvkAVfBsQ,0,2025-06-27T03:32:44Z
b0yw06rMBAY,UgzJuCdhtQyUfVDWIvR4AaABAg,"POKOKKNYAA INII BAGUSS BANGETTT AKUU RASANYAAA PNGENN NANGISS PASS ENDING 6 BAGUSSS BANGETTT CERIANYAA DAPETT TPII ITUU CUMAN HARI -1,, HUUU TERHARUU BANGETTT :(",@ainiaini-j2c,UCTUoeKv6sI1fJHbM-11xKSA,0,2025-06-27T03:32:05Z
b0yw06rMBAY,Ugw0MwsrmuFZJHeChyF4AaABAg,Bang efootball lagi ada event klasikk menarik buat dimainin,@RaksaKafiDwiPutra,UCwDmsmiJuzsIFubbKSZ-XYg,0,2025-06-27T03:29:21Z
b0yw06rMBAY,UgzIuWnFMT5SMtIcSm14AaABAg,"Permainan orang miskin.
temenku utang aku terus ternyata malah buat judi 😡",@Nzellion,UCcl3OOm7sirSnsg1XTv4gkA,0,2025-06-27T03:28:55Z
